TF	P.value	Cluster
Brn2(POU,Homeobox)	0.01	12
Fra1(bZIP)	1e-189	13
Atf3(bZIP)	1e-187	13
BATF(bZIP)	1e-180	13
JunB(bZIP)	1e-176	13
Fra2(bZIP)	1e-171	13
AP-1(bZIP)	1e-170	13
Fosl2(bZIP)	1e-153	13
Jun-AP1(bZIP)	1e-138	13
Sox3(HMG)	1e-111	13
Sox10(HMG)	1e-110	13
Sox9(HMG)	1e-100	13
Sox2(HMG)	1e-93	13
c-Jun-CRE(bZIP)	1e-90	13
Bach2(bZIP)	1e-83	13
Sox15(HMG)	1e-82	13
Atf7(bZIP)	1e-80	13
Sox4(HMG)	1e-79	13
Atf2(bZIP)	1e-77	13
Sox6(HMG)	1e-74	13
Sox17(HMG)	1e-66	13
Atf1(bZIP)	1e-64	13
JunD(bZIP)	1e-31	13
EAR2(NR)	1e-27	13
MafK(bZIP)	1e-24	13
COUP-TFII(NR)	1e-23	13
NFIL3(bZIP)	1e-22	13
Bach1(bZIP)	1e-21	13
NF1(CTF)	1e-16	13
NF-E2(bZIP)	1e-15	13
COUP-TFII(NR)	1e-15	13
LEF1(HMG)	1e-15	13
NF1-halfsite(CTF)	1e-14	13
CRE(bZIP)	1e-13	13
MafA(bZIP)	1e-13	13
Mef2d(MADS)	1e-12	13
Oct4:Sox17(POU,Homeobox,HMG)	1e-12	13
Mef2c(MADS)	1e-11	13
Nrf2(bZIP)	1e-11	13
CEBP(bZIP)	1e-11	13
HLF(bZIP)	1e-10	13
Tlx?(NR)	1e-09	13
Chop(bZIP)	1e-09	13
Mef2a(MADS)	1e-09	13
Tcf7(HMG)	1e-09	13
Atf4(bZIP)	1e-08	13
RARa(NR)	1e-07	13
LXH9(Homeobox)	1e-07	13
RUNX2(Runt)	1e-07	13
RXR(NR),DR1	1e-07	13
Lhx2(Homeobox)	1e-07	13
RUNX-AML(Runt)	1e-07	13
Stat3+il21(Stat)	1e-07	13
Ap4(bHLH)	1e-06	13
TR4(NR),DR1	1e-06	13
NFE2L2(bZIP)	1e-06	13
Tcf21(bHLH)	1e-06	13
RUNX(Runt)	1e-06	13
Stat3(Stat)	1e-06	13
NFkB-p65-Rel(RHD)	1e-06	13
MafB(bZIP)	1e-06	13
Erra(NR)	1e-05	13
ZFX(Zf)	1e-05	13
PPARE(NR),DR1	1e-05	13
Mef2b(MADS)	1e-05	13
STAT4(Stat)	1e-05	13
RUNX1(Runt)	1e-05	13
Usf2(bHLH)	1e-05	13
STAT5(Stat)	1e-05	13
CEBP:AP1(bZIP)	1e-05	13
Zfp281(Zf)	1e-04	13
THRb(NR)	1e-04	13
THRa(NR)	1e-04	13
HNF4a(NR),DR1	1e-04	13
NFkB-p65(RHD)	1e-04	13
PPARa(NR),DR1	1e-04	13
Maz(Zf)	1e-04	13
Nkx6.1(Homeobox)	1e-04	13
MITF(bHLH)	1e-04	13
STAT1(Stat)	1e-04	13
FXR(NR),IR1	1e-04	13
Lhx3(Homeobox)	1e-04	13
Nanog(Homeobox)	1e-04	13
TEAD(TEA)	1e-04	13
Tgif2(Homeobox)	1e-04	13
Zfp809(Zf)	1e-04	13
Pdx1(Homeobox)	1e-04	13
Bcl11a(Zf)	1e-04	13
RAR:RXR(NR),DR5	1e-04	13
Tcf3(HMG)	1e-04	13
TFE3(bHLH)	1e-04	13
TEAD1(TEAD)	1e-04	13
MyoD(bHLH)	1e-04	13
Dlx3(Homeobox)	0.001	13
GRE(NR),IR3	0.001	13
Tcf12(bHLH)	0.001	13
GATA(Zf),IR3	0.001	13
FOXK1(Forkhead)	0.001	13
Lhx1(Homeobox)	0.001	13
Zac1(Zf)	0.001	13
Hoxa11(Homeobox)	0.001	13
ERRg(NR)	0.001	13
Foxa2(Forkhead)	0.001	13
THRb(NR)	0.001	13
Smad3(MAD)	0.001	13
TEAD3(TEA)	0.001	13
Hoxb4(Homeobox)	0.001	13
Hoxd11(Homeobox)	0.001	13
Nur77(NR)	0.001	13
PR(NR)	0.001	13
OCT:OCT-short(POU,Homeobox)	0.001	13
ZNF711(Zf)	0.001	13
PGR(NR)	0.001	13
FOXP1(Forkhead)	0.001	13
Atoh1(bHLH)	0.01	13
Rbpj1(?)	0.01	13
SCL(bHLH)	0.01	13
BHLHA15(bHLH)	0.01	13
ZNF322(Zf)	0.01	13
Hoxa13(Homeobox)	0.01	13
ZBTB18(Zf)	0.01	13
NeuroG2(bHLH)	0.01	13
Foxo3(Forkhead)	0.01	13
USF1(bHLH)	0.01	13
Myf5(bHLH)	0.01	13
Hoxd13(Homeobox)	0.01	13
MyoG(bHLH)	0.01	13
Tgif1(Homeobox)	0.01	13
TEAD4(TEA)	0.01	13
Reverb(NR),DR2	0.01	13
Esrrb(NR)	0.01	13
HIC1(Zf)	0.01	13
Hoxd10(Homeobox)	0.01	13
RORgt(NR)	0.01	13
RORgt(NR)	0.01	13
ARE(NR)	0.01	13
WT1(Zf)	0.01	13
Mef2b(MADS)	1e-106	14
Mef2c(MADS)	1e-104	14
Mef2d(MADS)	1e-95	14
Mef2a(MADS)	1e-83	14
NF1(CTF)	1e-78	14
NF1-halfsite(CTF)	1e-73	14
Dlx3(Homeobox)	1e-48	14
Fra2(bZIP)	1e-42	14
Atf3(bZIP)	1e-40	14
JunB(bZIP)	1e-40	14
Fra1(bZIP)	1e-40	14
Tlx?(NR)	1e-39	14
AP-1(bZIP)	1e-38	14
BATF(bZIP)	1e-36	14
Fosl2(bZIP)	1e-35	14
Jun-AP1(bZIP)	1e-30	14
Lhx2(Homeobox)	1e-27	14
LXH9(Homeobox)	1e-23	14
HIC1(Zf)	1e-21	14
Nkx6.1(Homeobox)	1e-18	14
Bach2(bZIP)	1e-14	14
Lhx1(Homeobox)	1e-12	14
Lhx3(Homeobox)	1e-09	14
Smad3(MAD)	1e-08	14
Sox6(HMG)	1e-05	14
Hoxa11(Homeobox)	1e-05	14
Hoxd11(Homeobox)	1e-05	14
Brn2(POU,Homeobox)	1e-05	14
Sox2(HMG)	1e-05	14
WT1(Zf)	1e-04	14
RORa(NR)	1e-04	14
Atoh1(bHLH)	1e-04	14
Nrf2(bZIP)	1e-04	14
KLF14(Zf)	1e-04	14
Sox4(HMG)	1e-04	14
Znf263(Zf)	1e-04	14
ZNF416(Zf)	1e-04	14
RORg(NR)	1e-04	14
Sox10(HMG)	0.001	14
Egr1(Zf)	0.001	14
NeuroG2(bHLH)	0.001	14
NF1:FOXA1(CTF,Forkhead)	0.001	14
Hoxd13(Homeobox)	0.001	14
RORgt(NR)	0.001	14
RORgt(NR)	0.001	14
STAT4(Stat)	0.001	14
Isl1(Homeobox)	0.001	14
AMYB(HTH)	0.001	14
Sp5(Zf)	0.001	14
Ap4(bHLH)	0.001	14
Tcf12(bHLH)	0.001	14
Hoxa13(Homeobox)	0.001	14
NFIL3(bZIP)	0.001	14
AP-2alpha(AP2)	0.001	14
Tcf21(bHLH)	0.001	14
Sox3(HMG)	0.01	14
TATA-Box(TBP)	0.01	14
Bach1(bZIP)	0.01	14
E2F3(E2F)	0.01	14
AP-2gamma(AP2)	0.01	14
AR-halfsite(NR)	0.01	14
p53(p53)	0.01	14
p53(p53)	0.01	14
Sox15(HMG)	0.01	14
Stat3+il21(Stat)	0.01	14
BHLHA15(bHLH)	0.01	14
Tgif2(Homeobox)	0.01	14
NF-E2(bZIP)	0.01	14
Nanog(Homeobox)	0.01	14
HLF(bZIP)	0.01	14
Usf2(bHLH)	0.01	14
SCL(bHLH)	0.01	14
GATA:SCL(Zf,bHLH)	0.01	14
ZNF322(Zf)	0.01	14
Rfx6(HTH)	0.01	14
Srebp2(bHLH)	0.01	14
BMYB(HTH)	0.01	14
Smad2(MAD)	0.01	14
Olig2(bHLH)	0.01	14
Sp2(Zf)	0.01	14
NeuroD1(bHLH)	0.01	14
Dlx3(Homeobox)	1e-89	15
Lhx2(Homeobox)	1e-66	15
RFX(HTH)	1e-63	15
Rfx2(HTH)	1e-58	15
LXH9(Homeobox)	1e-51	15
Nkx6.1(Homeobox)	1e-46	15
X-box(HTH)	1e-45	15
Rfx1(HTH)	1e-41	15
Lhx3(Homeobox)	1e-37	15
Sox17(HMG)	1e-35	15
Lhx1(Homeobox)	1e-31	15
Sox2(HMG)	1e-31	15
Sox6(HMG)	1e-29	15
Sox3(HMG)	1e-27	15
KLF14(Zf)	1e-25	15
Rfx5(HTH)	1e-24	15
Sox10(HMG)	1e-24	15
NFIL3(bZIP)	1e-23	15
Sox15(HMG)	1e-23	15
HLF(bZIP)	1e-23	15
Egr1(Zf)	1e-22	15
Sox4(HMG)	1e-21	15
Sp5(Zf)	1e-21	15
WT1(Zf)	1e-20	15
Isl1(Homeobox)	1e-20	15
Sp2(Zf)	1e-15	15
Maz(Zf)	1e-14	15
Egr2(Zf)	1e-13	15
Znf263(Zf)	1e-08	15
Atf4(bZIP)	1e-08	15
Rfx6(HTH)	1e-08	15
KLF5(Zf)	1e-08	15
Brn1(POU,Homeobox)	1e-08	15
CEBP(bZIP)	1e-06	15
GRE(NR),IR3	1e-06	15
FOXK2(Forkhead)	1e-06	15
Tgif1(Homeobox)	1e-06	15
GRE(NR),IR3	1e-05	15
CEBP:AP1(bZIP)	1e-05	15
Mef2d(MADS)	1e-05	15
Fox:Ebox(Forkhead,bHLH)	1e-05	15
ZNF467(Zf)	1e-05	15
Barx1(Homeobox)	1e-05	15
PGR(NR)	1e-05	15
KLF3(Zf)	1e-04	15
Gfi1b(Zf)	1e-04	15
Oct6(POU,Homeobox)	1e-04	15
Foxo1(Forkhead)	1e-04	15
Tgif2(Homeobox)	1e-04	15
Jun-AP1(bZIP)	1e-04	15
Hoxd13(Homeobox)	1e-04	15
Mef2c(MADS)	0.001	15
Sox9(HMG)	0.001	15
Mef2b(MADS)	0.001	15
FOXK1(Forkhead)	0.001	15
JunB(bZIP)	0.001	15
KLF6(Zf)	0.001	15
Oct4(POU,Homeobox)	0.001	15
SCL(bHLH)	0.001	15
Klf9(Zf)	0.001	15
Nanog(Homeobox)	0.001	15
Foxo3(Forkhead)	0.001	15
ARE(NR)	0.001	15
FoxD3(forkhead)	0.001	15
Fra2(bZIP)	0.001	15
Hoxa13(Homeobox)	0.001	15
AP-1(bZIP)	0.001	15
Rbpj1(?)	0.001	15
AR-halfsite(NR)	0.001	15
GATA:SCL(Zf,bHLH)	0.01	15
Srebp1a(bHLH)	0.01	15
Fosl2(bZIP)	0.01	15
STAT6(Stat)	0.01	15
OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)	0.01	15
Eomes(T-box)	0.01	15
Oct11(POU,Homeobox)	0.01	15
Atf3(bZIP)	0.01	15
GLIS3(Zf)	0.01	15
BATF(bZIP)	0.01	15
Hoxa10(Homeobox)	0.01	15
Oct4:Sox17(POU,Homeobox,HMG)	0.01	15
Fra1(bZIP)	0.01	15
STAT6(Stat)	0.01	15
Prop1(Homeobox)	0.01	15
Foxa3(Forkhead)	0.01	15
Ascl1(bHLH)	0.01	15
E2F3(E2F)	0.01	15
ZNF41(Zf)	0.01	15
BMYB(HTH)	0.01	15
Unknown-ESC-element(?)	0.01	15
Zic(Zf)	0.01	15
Tcf7(HMG)	0.01	15
FOXP1(Forkhead)	0.01	15
LEF1(HMG)	0.01	15
Oct2(POU,Homeobox)	0.01	15
Zic3(Zf)	0.01	15
PRDM9(Zf)	0.01	15
NF1(CTF)	1e-138	16
Dlx3(Homeobox)	1e-123	16
NF1-halfsite(CTF)	1e-112	16
Lhx2(Homeobox)	1e-95	16
LXH9(Homeobox)	1e-92	16
Nkx6.1(Homeobox)	1e-85	16
Lhx1(Homeobox)	1e-85	16
Lhx3(Homeobox)	1e-80	16
Tlx?(NR)	1e-71	16
Sox3(HMG)	1e-60	16
Sox2(HMG)	1e-50	16
Sox6(HMG)	1e-49	16
Sox15(HMG)	1e-49	16
Isl1(Homeobox)	1e-43	16
Sox10(HMG)	1e-43	16
Sox17(HMG)	1e-42	16
HIC1(Zf)	1e-40	16
Sox4(HMG)	1e-33	16
Brn1(POU,Homeobox)	1e-32	16
Atoh1(bHLH)	1e-32	16
Tcf21(bHLH)	1e-32	16
Tgif2(Homeobox)	1e-31	16
Tcf12(bHLH)	1e-30	16
Ap4(bHLH)	1e-30	16
Twist2(bHLH)	1e-28	16
BHLHA15(bHLH)	1e-27	16
MyoG(bHLH)	1e-26	16
Oct6(POU,Homeobox)	1e-26	16
Ascl1(bHLH)	1e-26	16
Oct4(POU,Homeobox)	1e-23	16
OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)	1e-22	16
TCF4(bHLH)	1e-22	16
NeuroG2(bHLH)	1e-22	16
Nanog(Homeobox)	1e-20	16
Myf5(bHLH)	1e-20	16
Tgif1(Homeobox)	1e-20	16
MyoD(bHLH)	1e-20	16
Smad3(MAD)	1e-19	16
SCL(bHLH)	1e-18	16
Ptf1a(bHLH)	1e-16	16
HEB(bHLH)	1e-16	16
Meis1(Homeobox)	1e-15	16
NeuroD1(bHLH)	1e-15	16
Oct11(POU,Homeobox)	1e-14	16
E2A(bHLH)	1e-14	16
Maz(Zf)	1e-13	16
Sox9(HMG)	1e-12	16
Ascl2(bHLH)	1e-12	16
Olig2(bHLH)	1e-11	16
Oct2(POU,Homeobox)	1e-09	16
OCT:OCT(POU,Homeobox)	1e-08	16
Barx1(Homeobox)	1e-08	16
KLF14(Zf)	1e-08	16
ZBTB18(Zf)	1e-07	16
Prop1(Homeobox)	1e-07	16
Smad2(MAD)	1e-07	16
Phox2b(Homeobox)	1e-06	16
Pdx1(Homeobox)	1e-06	16
Zfp281(Zf)	1e-06	16
BMYB(HTH)	1e-06	16
Hoxa9(Homeobox)	1e-05	16
Tbx5(T-box)	1e-05	16
Tbx20(T-box)	1e-05	16
Sp5(Zf)	1e-05	16
ZNF467(Zf)	1e-05	16
Foxo1(Forkhead)	1e-04	16
Phox2a(Homeobox)	1e-04	16
E2F6(E2F)	1e-04	16
X-box(HTH)	1e-04	16
AMYB(HTH)	1e-04	16
Foxa2(Forkhead)	1e-04	16
FOXK2(Forkhead)	1e-04	16
Rfx6(HTH)	1e-04	16
Hoxa10(Homeobox)	1e-04	16
OCT:OCT(POU,Homeobox,IR1)	0.001	16
Smad4(MAD)	0.001	16
Oct4:Sox17(POU,Homeobox,HMG)	0.001	16
ERG(ETS)	0.001	16
Hoxd13(Homeobox)	0.001	16
ELF3(ETS)	0.001	16
MafF(bZIP)	0.001	16
Znf263(Zf)	0.001	16
Stat3+il21(Stat)	0.001	16
FOXK1(Forkhead)	0.001	16
Tbx6(T-box)	0.001	16
PBX1(Homeobox)	0.01	16
Tbox:Smad(T-box,MAD)	0.01	16
E2F3(E2F)	0.01	16
EWS:ERG-fusion(ETS)	0.01	16
Pitx1:Ebox(Homeobox,bHLH)	0.01	16
STAT4(Stat)	0.01	16
NF1:FOXA1(CTF,Forkhead)	0.01	16
ETS1(ETS)	0.01	16
Gfi1b(Zf)	0.01	16
ELF5(ETS)	0.01	16
Etv2(ETS)	0.01	16
ZSCAN22(Zf)	0.01	16
NFIL3(bZIP)	0.01	16
Fli1(ETS)	0.01	16
CEBP(bZIP)	0.01	16
FOXP1(Forkhead)	0.01	16
MYB(HTH)	0.01	16
WT1(Zf)	0.01	16
Arnt:Ahr(bHLH)	0.01	16
Hoxb4(Homeobox)	0.01	16
EHF(ETS)	0.01	16
Rfx1(HTH)	0.01	16
Foxo3(Forkhead)	0.01	16
Twist(bHLH)	0.01	16
Sp2(Zf)	0.01	16
Brachyury(T-box)	0.01	16
ETV1(ETS)	0.01	16
Pax7(Paired,Homeobox),longest	0.01	16
Pit1+1bp(Homeobox)	0.01	16
Brn2(POU,Homeobox)	0.01	16
EWS:FLI1-fusion(ETS)	0.01	16
Dlx3(Homeobox)	1e-171	17
Fra1(bZIP)	1e-153	17
Atf3(bZIP)	1e-147	17
Fra2(bZIP)	1e-147	17
AP-1(bZIP)	1e-143	17
JunB(bZIP)	1e-140	17
BATF(bZIP)	1e-135	17
Fosl2(bZIP)	1e-123	17
Mef2b(MADS)	1e-111	17
Jun-AP1(bZIP)	1e-109	17
Mef2c(MADS)	1e-97	17
Lhx2(Homeobox)	1e-94	17
Mef2d(MADS)	1e-89	17
NF1(CTF)	1e-81	17
LXH9(Homeobox)	1e-75	17
Mef2a(MADS)	1e-70	17
Nkx6.1(Homeobox)	1e-64	17
RFX(HTH)	1e-42	17
Rfx2(HTH)	1e-41	17
Bach2(bZIP)	1e-39	17
Lhx1(Homeobox)	1e-34	17
Tlx?(NR)	1e-32	17
NFIL3(bZIP)	1e-32	17
X-box(HTH)	1e-29	17
HLF(bZIP)	1e-28	17
Sox3(HMG)	1e-26	17
Rfx1(HTH)	1e-26	17
Lhx3(Homeobox)	1e-21	17
Sox10(HMG)	1e-20	17
Sox2(HMG)	1e-17	17
RORa(NR)	1e-16	17
RORg(NR)	1e-16	17
Sox4(HMG)	1e-15	17
KLF14(Zf)	1e-15	17
RORgt(NR)	1e-15	17
RORgt(NR)	1e-15	17
Sox15(HMG)	1e-14	17
Isl1(Homeobox)	1e-13	17
Rfx5(HTH)	1e-12	17
Bach1(bZIP)	1e-12	17
Znf263(Zf)	1e-11	17
NF1-halfsite(CTF)	1e-11	17
Sp5(Zf)	1e-11	17
Zic3(Zf)	1e-10	17
Zic(Zf)	1e-10	17
Unknown-ESC-element(?)	1e-10	17
Sp2(Zf)	1e-10	17
WT1(Zf)	1e-09	17
Hoxd13(Homeobox)	1e-09	17
NF-E2(bZIP)	1e-08	17
Nrf2(bZIP)	1e-08	17
Egr1(Zf)	1e-08	17
Sox6(HMG)	1e-08	17
NFE2L2(bZIP)	1e-08	17
Hoxd11(Homeobox)	1e-07	17
Hoxa11(Homeobox)	1e-07	17
ZNF136(Zf)	1e-06	17
Foxo1(Forkhead)	1e-06	17
E2F3(E2F)	1e-06	17
Sox9(HMG)	1e-05	17
Sox17(HMG)	1e-05	17
Maz(Zf)	1e-05	17
GLIS3(Zf)	1e-05	17
Zfp809(Zf)	1e-04	17
Atf4(bZIP)	1e-04	17
Atf1(bZIP)	1e-04	17
Rfx6(HTH)	1e-04	17
STAT6(Stat)	1e-04	17
Unknown(Homeobox)	1e-04	17
Hoxa13(Homeobox)	1e-04	17
CDX4(Homeobox)	1e-04	17
Hoxa9(Homeobox)	1e-04	17
Hoxa10(Homeobox)	0.001	17
MafA(bZIP)	0.001	17
CEBP(bZIP)	0.001	17
CArG(MADS)	0.001	17
CEBP:CEBP(bZIP)	0.001	17
Foxo3(Forkhead)	0.001	17
FoxD3(forkhead)	0.001	17
ZNF416(Zf)	0.001	17
Oct4:Sox17(POU,Homeobox,HMG)	0.001	17
Egr2(Zf)	0.001	17
AP-2gamma(AP2)	0.001	17
GRE(NR),IR3	0.001	17
FOXK1(Forkhead)	0.001	17
Fox:Ebox(Forkhead,bHLH)	0.001	17
AP-2alpha(AP2)	0.01	17
STAT6(Stat)	0.01	17
Gli2(Zf)	0.01	17
FOXK2(Forkhead)	0.01	17
E2F6(E2F)	0.01	17
KLF6(Zf)	0.01	17
c-Jun-CRE(bZIP)	0.01	17
MafK(bZIP)	0.01	17
Barx1(Homeobox)	0.01	17
Foxf1(Forkhead)	0.01	17
TATA-Box(TBP)	0.01	17
RUNX-AML(Runt)	0.01	17
Rbpj1(?)	0.01	17
EBF1(EBF)	0.01	17
FOXP1(Forkhead)	0.01	17
Atf7(bZIP)	0.01	17
Nanog(Homeobox)	0.01	17
JunD(bZIP)	0.01	17
ZNF7(Zf)	0.01	17
PAX5(Paired,Homeobox),condensed	0.01	17
Fra1(bZIP)	1e-138	18
Fra2(bZIP)	1e-138	18
Atf3(bZIP)	1e-133	18
Fosl2(bZIP)	1e-132	18
JunB(bZIP)	1e-130	18
BATF(bZIP)	1e-123	18
AP-1(bZIP)	1e-115	18
Jun-AP1(bZIP)	1e-113	18
Tcf21(bHLH)	1e-74	18
Ap4(bHLH)	1e-63	18
BHLHA15(bHLH)	1e-62	18
Twist2(bHLH)	1e-60	18
Tcf12(bHLH)	1e-58	18
Atoh1(bHLH)	1e-52	18
Mef2b(MADS)	1e-48	18
Dlx3(Homeobox)	1e-47	18
MyoG(bHLH)	1e-44	18
NeuroG2(bHLH)	1e-43	18
TCF4(bHLH)	1e-43	18
Mef2c(MADS)	1e-42	18
Ascl1(bHLH)	1e-42	18
Myf5(bHLH)	1e-41	18
Mef2d(MADS)	1e-41	18
MyoD(bHLH)	1e-37	18
Bach2(bZIP)	1e-37	18
Mef2a(MADS)	1e-36	18
NFAT(RHD)	1e-34	18
NFAT:AP1(RHD,bZIP)	1e-34	18
ZBTB18(Zf)	1e-33	18
Egr1(Zf)	1e-30	18
WT1(Zf)	1e-29	18
E2A(bHLH)	1e-28	18
Ascl2(bHLH)	1e-28	18
SCL(bHLH)	1e-25	18
NeuroD1(bHLH)	1e-25	18
Lhx2(Homeobox)	1e-25	18
Olig2(bHLH)	1e-24	18
HEB(bHLH)	1e-24	18
Ptf1a(bHLH)	1e-22	18
Nkx6.1(Homeobox)	1e-22	18
PAX6(Paired,Homeobox)	1e-20	18
LXH9(Homeobox)	1e-20	18
NF1(CTF)	1e-15	18
Egr2(Zf)	1e-12	18
Lhx1(Homeobox)	1e-11	18
Lhx3(Homeobox)	1e-09	18
Bach1(bZIP)	1e-09	18
NF-E2(bZIP)	1e-07	18
KLF14(Zf)	1e-07	18
Pitx1:Ebox(Homeobox,bHLH)	1e-06	18
MafK(bZIP)	1e-06	18
Tlx?(NR)	1e-05	18
c-Jun-CRE(bZIP)	1e-05	18
Isl1(Homeobox)	1e-05	18
Nrf2(bZIP)	1e-04	18
Twist(bHLH)	1e-04	18
Foxo1(Forkhead)	1e-04	18
Brn2(POU,Homeobox)	1e-04	18
Bcl11a(Zf)	1e-04	18
NF1-halfsite(CTF)	1e-04	18
Atf1(bZIP)	1e-04	18
Nur77(NR)	1e-04	18
Nanog(Homeobox)	0.001	18
Esrrb(NR)	0.001	18
OCT:OCT-short(POU,Homeobox)	0.001	18
RUNX-AML(Runt)	0.001	18
Atf2(bZIP)	0.001	18
JunD(bZIP)	0.001	18
PAX5(Paired,Homeobox)	0.001	18
Atf4(bZIP)	0.001	18
Zic3(Zf)	0.001	18
PAX3:FKHR-fusion(Paired,Homeobox)	0.001	18
RBPJ:Ebox(?,bHLH)	0.001	18
Hoxd13(Homeobox)	0.001	18
Unknown-ESC-element(?)	0.001	18
FOXK2(Forkhead)	0.001	18
SF1(NR)	0.001	18
Chop(bZIP)	0.001	18
Zfp281(Zf)	0.01	18
CRE(bZIP)	0.01	18
Foxo3(Forkhead)	0.01	18
Barx1(Homeobox)	0.01	18
Sp5(Zf)	0.01	18
NFE2L2(bZIP)	0.01	18
NFkB-p65(RHD)	0.01	18
NFIL3(bZIP)	0.01	18
STAT6(Stat)	0.01	18
MafA(bZIP)	0.01	18
E2F6(E2F)	0.01	18
FOXP1(Forkhead)	0.01	18
Atf7(bZIP)	0.01	18
Rfx2(HTH)	0.01	18
ZNF519(Zf)	0.01	18
HLF(bZIP)	0.01	18
FOXK1(Forkhead)	0.01	18
Arnt:Ahr(bHLH)	0.01	18
Rbpj1(?)	0.01	18
ERRg(NR)	0.01	18
Tgif1(Homeobox)	1e-95	19
Tgif2(Homeobox)	1e-93	19
Dlx3(Homeobox)	1e-88	19
Tcf21(bHLH)	1e-87	19
BHLHA15(bHLH)	1e-82	19
Twist2(bHLH)	1e-79	19
Ap4(bHLH)	1e-79	19
Atoh1(bHLH)	1e-75	19
Nkx6.1(Homeobox)	1e-73	19
Meis1(Homeobox)	1e-67	19
Tcf12(bHLH)	1e-67	19
Lhx2(Homeobox)	1e-66	19
TCF4(bHLH)	1e-63	19
NeuroG2(bHLH)	1e-62	19
LXH9(Homeobox)	1e-59	19
Ascl1(bHLH)	1e-59	19
MyoG(bHLH)	1e-58	19
Myf5(bHLH)	1e-57	19
MyoD(bHLH)	1e-55	19
SCL(bHLH)	1e-47	19
Olig2(bHLH)	1e-45	19
Lhx3(Homeobox)	1e-44	19
NeuroD1(bHLH)	1e-43	19
Lhx1(Homeobox)	1e-43	19
Ptf1a(bHLH)	1e-41	19
HEB(bHLH)	1e-35	19
ZBTB18(Zf)	1e-33	19
E2A(bHLH)	1e-32	19
Ascl2(bHLH)	1e-30	19
Zic3(Zf)	1e-29	19
Unknown-ESC-element(?)	1e-27	19
Nanog(Homeobox)	1e-25	19
Isl1(Homeobox)	1e-16	19
NF1-halfsite(CTF)	1e-15	19
Tbx20(T-box)	1e-14	19
Zic(Zf)	1e-13	19
HIC1(Zf)	1e-13	19
Pbx3(Homeobox)	1e-10	19
Pdx1(Homeobox)	1e-09	19
Pknox1(Homeobox)	1e-08	19
Pitx1:Ebox(Homeobox,bHLH)	1e-08	19
Tlx?(NR)	1e-07	19
NF1(CTF)	1e-07	19
Hoxa9(Homeobox)	1e-06	19
MafA(bZIP)	1e-05	19
Hoxd13(Homeobox)	1e-05	19
Hoxd11(Homeobox)	1e-05	19
X-box(HTH)	1e-05	19
JunB(bZIP)	1e-04	19
Hoxb4(Homeobox)	1e-04	19
Fra1(bZIP)	1e-04	19
Fosl2(bZIP)	1e-04	19
GLIS3(Zf)	1e-04	19
Tbx5(T-box)	1e-04	19
RBPJ:Ebox(?,bHLH)	1e-04	19
Atf3(bZIP)	0.001	19
Rfx1(HTH)	0.001	19
BMYB(HTH)	0.001	19
MYB(HTH)	0.001	19
BATF(bZIP)	0.001	19
Eomes(T-box)	0.001	19
RORa(NR)	0.001	19
Stat3(Stat)	0.001	19
AMYB(HTH)	0.001	19
HLF(bZIP)	0.001	19
Gfi1b(Zf)	0.001	19
STAT4(Stat)	0.001	19
ZNF467(Zf)	0.001	19
HOXA1(Homeobox)	0.001	19
ZNF264(Zf)	0.001	19
PBX2(Homeobox)	0.01	19
Sp2(Zf)	0.01	19
PBX1(Homeobox)	0.01	19
RORgt(NR)	0.01	19
RORgt(NR)	0.01	19
KLF14(Zf)	0.01	19
ZSCAN22(Zf)	0.01	19
Mef2b(MADS)	0.01	19
Oct6(POU,Homeobox)	0.01	19
RORg(NR)	0.01	19
Hoxa10(Homeobox)	0.01	19
AP-1(bZIP)	0.01	19
Twist(bHLH)	0.01	19
HNF1b(Homeobox)	0.01	19
Tbr1(T-box)	0.01	19
Hoxd10(Homeobox)	0.01	19
Hoxc9(Homeobox)	0.01	19
Znf263(Zf)	0.01	19
Atf1(bZIP)	0.01	19
Hoxa11(Homeobox)	0.01	19
Fra2(bZIP)	0.01	19
Sp5(Zf)	0.01	19
PSE(SNAPc)	0.01	19
Jun-AP1(bZIP)	0.01	19
Unknown(Homeobox)	0.01	19
MafF(bZIP)	0.01	19
STAT1(Stat)	0.01	19
Rfx2(HTH)	0.01	19
Mef2d(MADS)	0.01	19
NFIL3(bZIP)	0.01	19
Tcf21(bHLH)	1e-83	20
Dlx3(Homeobox)	1e-77	20
Ap4(bHLH)	1e-77	20
Tcf12(bHLH)	1e-73	20
BHLHA15(bHLH)	1e-72	20
LXH9(Homeobox)	1e-68	20
Lhx2(Homeobox)	1e-67	20
MyoG(bHLH)	1e-66	20
Atoh1(bHLH)	1e-65	20
Lhx3(Homeobox)	1e-62	20
Twist2(bHLH)	1e-62	20
Nkx6.1(Homeobox)	1e-57	20
Ascl1(bHLH)	1e-57	20
Lhx1(Homeobox)	1e-55	20
Myf5(bHLH)	1e-54	20
NF1-halfsite(CTF)	1e-53	20
TCF4(bHLH)	1e-52	20
NeuroG2(bHLH)	1e-50	20
MyoD(bHLH)	1e-43	20
Fra2(bZIP)	1e-42	20
Fra1(bZIP)	1e-41	20
Atf3(bZIP)	1e-40	20
AP-1(bZIP)	1e-40	20
Fosl2(bZIP)	1e-39	20
JunB(bZIP)	1e-38	20
