symbol	signal
Tfap2c	0.6925
Ly6g6d	0.68
Fstl4	0.6475
Ly6g6e	0.63
Neurod2	0.6275
Kcnip4	0.6275
Gpr12	0.6175
Cerkl	0.5875
Neurod1	0.5875
Cdhr1	0.5725
Tmem163	0.555
Cand2	0.535
Tmem132c	0.53
Lsmem1	0.52
Emx2	0.5175
Tmem132d	0.5175
Ablim1	0.515
Eomes	0.51
Aifm3	0.475
Gm13629	0.4725
Slc17a6	0.47
Ptprd	0.465
Mir7030	0.465
Iqank1	0.46
Reln	0.4575
Hpgd	0.445
Phactr2	0.4325
Tbr1	0.4325
Cbln4	0.43
Igf1	0.4225
Sidt1	0.4225
Npnt	0.4225
Bend5	0.42
Sv2b	0.42
Igfbp2	0.4075
Prss32	0.4075
Gm15270	0.405
Chst8	0.4
Syt9	0.3925
Tspan2	0.3875
Hspb3	0.385
Pstpip2	0.385
Brsk2	0.385
Shisa6	0.3825
Bmpr1b	0.38
Cd302	0.3775
Cwh43	0.3725
Ephx4	0.3725
Gm15631	0.3725
Cntn4	0.3725
Dmrtb1	0.37
1500012K07Rik	0.3675
Kndc1	0.3675
Galnt12	0.3625
Slc24a2	0.3575
Neurod6	0.3575
Gm16982	0.3575
Htr5a	0.355
Aox4	0.3525
Ngf	0.35
Gm11346	0.3475
Gja4	0.3475
Pla2g2c	0.3475
Tmem40	0.3475
E330013P04Rik	0.345
Bcas3os1	0.3375
Minar1	0.335
Nwd2	0.3325
Coro6	0.33
Ephx2	0.33
Pkib	0.3275
Slc22a15	0.3275
Tifa	0.3275
Slc38a3	0.3275
Cacna1e	0.325
Rtp4	0.325
Ifit1	0.325
Itga4	0.325
Neil2	0.32
Emx1	0.32
Zdhhc23	0.3175
Ky	0.3175
Rab11fip4	0.3125
Tcf15	0.3125
Trim66	0.3125
Lama4	0.31
Cyp7b1	0.31
C230014O12Rik	0.3075
Itga3	0.3
A330102I10Rik	0.3
Ssh3	0.3
Epha2	0.3
Spp1	0.3
Rph3a	0.2975
Mir7056	0.2975
Dennd2c	0.295
Stxbp2	0.295
Dtna	0.2925
AY702102	0.2925
Tmem154	0.2925
Arhgdib	0.2925
Scn2b	0.2925
Exph5	0.2925
Cck	0.2925
Mkx	0.29
Ch25h	0.2875
Gipc2	0.2875
Epb41	0.2875
Il18bp	0.2875
Cd55	0.285
4930512B01Rik	0.285
A830009L08Rik	0.285
A730085K08Rik	0.285
Ankrd34c	0.2825
AI847159	0.28
Rskr	0.2775
Klhl14	0.2775
Htr1d	0.2775
Flt3	0.275
Prr15	0.275
AY512931	0.275
Smim10l2a	0.275
Map3k19	0.2725
F2r	0.2725
Zfp599	0.2725
Rab37	0.2675
Dscc1	0.2675
Ccdc80	0.265
Rab3b	0.265
Entpd3	0.265
Art4	0.2625
1810019D21Rik	0.2625
Lrrc10	0.26
Grik1	0.26
Trpm4	0.26
Sgpp2	0.2575
Lin28b	0.2575
Tnfrsf19	0.2575
Trib3	0.2575
C030018K13Rik	0.2575
Tmem150b	0.2575
Hs3st3a1	0.255
Gnal	0.255
AI593442	0.255
Cyp27a1	0.2525
Islr2	0.2525
Rtl4	0.2525
Ctps2	0.25
Mfsd4a	0.2475
Cobl	0.2475
Pdzrn4	0.2475
Gm38402	0.2475
St8sia6	0.245
LOC106557447	0.245
Sox6	0.245
Kcnh6	0.2425
Gm9920	0.2425
Wnt5b	0.2425
Ano5	0.2425
C730036E19Rik	0.24
Mstn	0.2375
Msrb3	0.2375
Ptger3	0.2375
Tes	0.2375
Mansc1	0.2375
Far2	0.2375
Mrap2	0.2375
4930431P03Rik	0.235
Sacs	0.235
Gm16291	0.235
Panx2	0.235
Ndst4	0.235
Unc5c	0.235
Elavl4	0.235
Kit	0.235
Tns1	0.2325
Nipal4	0.2325
Amn	0.2325
Nkx3-1	0.2325
Tmem189	0.2325
Clip1	0.2325
Gask1b	0.2275
Zbtb8b	0.2275
Klhl38	0.225
Mab21l1	0.225
Dnajc6	0.225
Mir697	0.225
Ap1s3	0.2225
Tlr5	0.2225
Ifnlr1	0.2225
Gm38426	0.2225
Slc35f2	0.2225
Adcy6	0.22
Galnt14	0.22
Xkr8	0.22
Glra3	0.22
Clgn	0.22
Kif28	0.2175
Trpc7	0.2175
Lcp1	0.2175
Intu	0.2175
Igfbp7	0.2175
Cyb5r1	0.215
Vmn1r206	0.215
Ide	0.215
Iqschfp	0.215
Oas1c	0.215
Creb5	0.215
Isg20	0.215
Terb1	0.215
Htr5b	0.2125
Tep1	0.2125
Rtp2	0.2125
Lrrn4cl	0.2125
Prlhr	0.2125
Pacsin3	0.2125
Adamts18	0.2125
Tnnt2	0.21
Osr1	0.21
Pde8b	0.21
Kcnmb2	0.21
Agbl4	0.21
Mfge8	0.21
Rtkn2	0.2075
Anxa11	0.2075
Smpdl3b	0.2075
Gm21814	0.2075
Prim1	0.205
Coch	0.205
Olfr156	0.205
Drd5	0.205
E030030I06Rik	0.2025
Stmn2	0.2025
Fbxo17	0.2025
Il4ra	0.2025
Tepp	0.2025
Unc13c	0.2025
Prr29	0.2
Angpt1	0.2
Svil	0.2
Slco4c1	0.1975
Gm12216	0.1975
Rnf43	0.1975
Dleu7	0.1975
Mir7213	0.1975
Serping1	0.1975
Tex29	0.1975
Pygo1	0.1975
4932413F04Rik	0.1975
Sntb1	0.195
Pdlim3	0.195
1810007C17Rik	0.1925
Parp9	0.1925
Ly75	0.1925
Slc27a2	0.1925
Tmsb15b2	0.1925
Efcab6	0.19
Tslp	0.19
Pla2g4e	0.19
Carmil2	0.19
Eef1a1	0.19
Mcidas	0.1875
Robo1	0.1875
Nr3c1	0.1875
Fbn1	0.1875
Mir6340	0.1875
Mgst2	0.1875
AI427809	0.1875
Epb41l2	0.185
Nts	0.185
Arhgdig	0.185
Slc7a14	0.185
Ppargc1a	0.185
Cyp4v3	0.185
Pkdrej	0.1825
A630077J23Rik	0.1825
Mir344d-1	0.1825
1700011L22Rik	0.1825
4930550C14Rik	0.1825
Vgll2	0.18
Gabrb2	0.18
Clec14a	0.18
Ly6e	0.18
Pthlh	0.18
Tead2	0.18
Coro1a	0.18
Pls1	0.18
Gpnmb	0.1775
