symbol	signal
Ripk4	0.857142857142857
Tnk2os	0.642857142857143
Lamb1	0.493506493506494
Mpp3	0.428571428571429
Ccl2	0.422077922077922
Serinc2	0.409090909090909
Htr5b	0.363636363636364
Itga3	0.363636363636364
Il1rapl2	0.357142857142857
F11r	0.324675324675325
Prkcz	0.311688311688312
4631405J19Rik	0.298701298701299
Aoc3	0.285714285714286
Arhgef10l	0.285714285714286
Dhrs9	0.279220779220779
Mfge8	0.279220779220779
5430421F17Rik	0.279220779220779
A730085K08Rik	0.279220779220779
Gjb4	0.266233766233766
Vwa7	0.253246753246753
Sertm1	0.253246753246753
Ttc39b	0.253246753246753
Gm19345	0.246753246753247
Adgrv1	0.24025974025974
1700095J12Rik	0.24025974025974
Gm20052	0.227272727272727
Pla2g2e	0.220779220779221
Zbtb38	0.220779220779221
Cib4	0.214285714285714
Itga5	0.207792207792208
Slc18a2	0.207792207792208
Tex29	0.207792207792208
Tmem189	0.201298701298701
Nupr1	0.201298701298701
Glra1	0.194805194805195
Pkdrej	0.194805194805195
Ptgds	0.194805194805195
Htr3a	0.194805194805195
Cplx2	0.188311688311688
Odaph	0.188311688311688
Esyt3	0.188311688311688
Tuba4a	0.181818181818182
Pldi	0.181818181818182
Sfxn5	0.181818181818182
Brsk2	0.181818181818182
Pdlim3	0.181818181818182
Mab21l4	0.175324675324675
Plcxd3	0.175324675324675
Gabra3	0.175324675324675
Slc7a14	0.168831168831169
Unc5c	0.162337662337662
1700019D03Rik	0.149350649350649
Ovca2	0.149350649350649
Tekt5	0.149350649350649
Pnrc1	0.149350649350649
Ripor2	0.142857142857143
Chrna3	0.142857142857143
Epb41l2	0.136363636363636
Alkbh3os1	0.136363636363636
Casq2	0.136363636363636
N4bp3	0.12987012987013
Rnf183	0.12987012987013
Fam183b	0.123376623376623
Plxna4	0.123376623376623
Ccl7	0.116883116883117
Epn3	0.116883116883117
1700125G02Rik	0.116883116883117
Fgd5	0.116883116883117
Grm7	0.116883116883117
Tmem25	0.116883116883117
Cacna2d2	0.116883116883117
Rnf123	0.116883116883117
Masp1	0.11038961038961
Ak1	0.11038961038961
Acadm	0.11038961038961
Cdk14	0.11038961038961
Arhgap24	0.11038961038961
Cdk2ap1	0.11038961038961
Clstn2	0.11038961038961
8030423F21Rik	0.103896103896104
Btg4	0.103896103896104
Chst11	0.0974025974025974
B3galt5	0.0909090909090909
Prom2	0.0909090909090909
Fmnl1	0.0844155844155844
Inhba	0.0844155844155844
Gm6994	0.0844155844155844
Pard6b	0.0844155844155844
Ephb1	0.0844155844155844
Pmp22	0.0779220779220779
Plekha6	0.0714285714285714
Eya2	0.0714285714285714
Creb5	0.0714285714285714
Ifitm10	0.0714285714285714
Smad1	0.0714285714285714
Zc3h18	0.0714285714285714
2310030G06Rik	0.0714285714285714
Sardh	0.0649350649350649
Duoxa1	0.0649350649350649
Clip1	0.0649350649350649
Rnf122	0.0649350649350649
Saysd1	0.0584415584415584
Csrnp3	0.0584415584415584
S100a3	0.0584415584415584
AI593442	0.0584415584415584
Spsb4	0.0584415584415584
Mpz	0.051948051948052
Kitl	0.051948051948052
R3hdm2	0.051948051948052
Dhx58	0.051948051948052
Arhgef28	0.051948051948052
Itgbl1	0.051948051948052
Sipa1	0.051948051948052
Stx3	0.051948051948052
Adh6b	0.051948051948052
Kank4os	0.051948051948052
Acacb	0.051948051948052
Cabp1	0.051948051948052
Arhgef15	0.0454545454545455
Tmprss2	0.0454545454545455
Sv2a	0.0454545454545455
Limch1	0.0454545454545455
Coro1c	0.0454545454545455
Rimbp2	0.0454545454545455
Sun1	0.0454545454545455
Fkbp4	0.0454545454545455
3100003L05Rik	0.0454545454545455
Fam53b	0.0454545454545455
Tpm4	0.0454545454545455
Alas1	0.0454545454545455
Cyp8b1	0.0454545454545455
Nt5dc3	0.038961038961039
Sec24a	0.038961038961039
Csnk1e	0.038961038961039
Mcc	0.038961038961039
Tubgcp4	0.038961038961039
Gpr88	0.038961038961039
9530026P05Rik	0.038961038961039
Klf13	0.038961038961039
Opcml	0.038961038961039
Adpgk	0.038961038961039
Ttc9	0.0324675324675325
Ergic1	0.0324675324675325
Rrp1b	0.0324675324675325
Rcan2	0.0324675324675325
Ehd1	0.0324675324675325
Xpnpep1	0.0324675324675325
Zbtb46	0.0324675324675325
Inpp5b	0.0324675324675325
Ucp2	0.0324675324675325
Nlrc5	0.0324675324675325
Ccdc33	0.0324675324675325
Amotl2	0.0324675324675325
Aig1	0.025974025974026
Aldh1l2	0.025974025974026
Rcan1	0.025974025974026
6720468P15Rik	0.025974025974026
Phf21a	0.025974025974026
Rhbg	0.025974025974026
Epb41l4b	0.025974025974026
Plcxd1	0.025974025974026
Alox5ap	0.025974025974026
Tmem178b	0.025974025974026
Ctnnb1	0.025974025974026
Ncoa7	0.0194805194805195
Ddt	0.0194805194805195
Appl2	0.0194805194805195
Zdhhc19	0.0194805194805195
Haao	0.0194805194805195
Hapln2	0.0194805194805195
Faf1	0.0194805194805195
Yes1	0.0194805194805195
Medag	0.0194805194805195
Mcm5	0.0194805194805195
Myrip	0.0194805194805195
Kdm4b	0.012987012987013
Lmo2	0.012987012987013
Pygb	0.012987012987013
Pate14	0.012987012987013
Mir6236	0.012987012987013
Nox1	0.012987012987013
Cd63	0.00649350649350649
Col2a1	0.00649350649350649
Kctd20	0.00649350649350649
Xkr7	0.00649350649350649
Iqsec1	0.00649350649350649
Inpp5f	0.00649350649350649
Mtus1	0.00649350649350649
