symbol	signal
Kcnip4	0.4375
Matn4	0.4125
Rgs8	0.39375
Gm11346	0.36875
D930028M14Rik	0.36875
Ccl2	0.35
Cib4	0.29375
Minar1	0.29375
Gm13133	0.25625
Gm15631	0.24375
Aoc3	0.2375
Aldh3b1	0.23125
Aox4	0.2125
Cand2	0.20625
Sfrp5	0.20625
Speg	0.20625
D830026I12Rik	0.2
Olfr772	0.19375
Ptgds	0.175
Terb1	0.175
Tmem132a	0.175
Sardh	0.16875
Slc2a12	0.16875
4932435O22Rik	0.1625
Foxp2	0.1625
Zfp853	0.15625
E130310I04Rik	0.15625
A730085K08Rik	0.15625
Lrrc9	0.15625
Foxp4	0.15
Xkr8	0.15
Tgfa	0.14375
Nav1	0.14375
Crybb1	0.1375
Klf14	0.1375
Cyp4f40	0.1375
Kirrel3	0.1375
Mir6403	0.13125
Ddx60	0.13125
C030018K13Rik	0.13125
Krtap10-10	0.13125
Cdk2ap1	0.125
Gm11264	0.125
Ccdc63	0.11875
Shroom3	0.11875
Kcnh6	0.1125
Snai2	0.1125
Accs	0.1125
Tekt5	0.1125
Ddx43	0.1125
Fam183b	0.10625
Mroh6	0.10625
Zbtb38	0.10625
Mrpl16	0.1
Esyt3	0.1
Ropn1l	0.09375
2310016G11Rik	0.0875
Gm5148	0.08125
Gm6994	0.08125
Osbpl7	0.08125
Lamc3	0.08125
Sbk1	0.08125
Nae1	0.08125
Olfr1096-ps1	0.08125
Robo1	0.08125
Slc13a3	0.075
Slc6a17	0.075
Sigmar1	0.075
Fancb	0.075
Ly6e	0.06875
Bmp4	0.06875
Acaca	0.06875
Cyren	0.06875
Plekhg4	0.0625
Gpr88	0.0625
Arhgap27	0.0625
Ide	0.0625
Fgd6	0.05625
Erbb4	0.05625
Sgcd	0.05625
Cfap43	0.05625
Zfp874b	0.05625
Bcap29	0.05625
Mprip	0.04375
Pxn	0.04375
Hecw1	0.04375
Tenm4	0.04375
Atxn2	0.04375
Ror1	0.04375
Ydjc	0.04375
Zcchc4	0.0375
Adamts9	0.0375
Lrrc3b	0.0375
Rcan2	0.0375
Gm11351	0.0375
Fkbp4	0.0375
Dazl	0.0375
Dpysl3	0.0375
Suclg2	0.03125
Ergic1	0.03125
Col2a1	0.03125
Zfp791	0.03125
AI987944	0.03125
Fzd1	0.03125
6720468P15Rik	0.025
Btbd11	0.01875
Fmn2	0.0125
Haao	0.0125
Kcnk2	0.0125
Gulp1	0.0125
Nid2	0.0125
Treml4	0.0125
