symbol	signal
C1qc	1.41417910447761
Irf5	1.15671641791045
Cx3cr1	1.04850746268657
Blnk	1.02611940298507
Il10ra	1.02238805970149
Tifab	1.01119402985075
Vsir	0.996268656716418
Nlrp3	0.966417910447761
Ctss	0.951492537313433
Adrb2	0.936567164179104
Tifa	0.925373134328358
Unc93b1	0.891791044776119
Fermt3	0.880597014925373
Dock8	0.861940298507463
Aldh3b1	0.824626865671642
Lgals9	0.813432835820896
Arhgap25	0.813432835820896
Lpcat2	0.798507462686567
Lst1	0.783582089552239
Gm5086	0.776119402985075
Hhex	0.772388059701492
4930594C11Rik	0.761194029850746
Slc11a1	0.75
Arhgap27os3	0.75
Cmklr1	0.746268656716418
Spi1	0.735074626865672
Neurl3	0.727611940298508
Inpp5d	0.727611940298508
C1qa	0.720149253731343
Map3k19	0.712686567164179
Arhgap45	0.712686567164179
Csf3r	0.712686567164179
E330020D12Rik	0.694029850746269
Ncf4	0.686567164179104
C130050O18Rik	0.686567164179104
Cyth4	0.682835820895522
C1qb	0.682835820895522
Plxna4os1	0.682835820895522
Rubcnl	0.67910447761194
Tnni2	0.67910447761194
Tuba1c	0.667910447761194
Lrp5	0.667910447761194
Icam1	0.66044776119403
Ccl12	0.656716417910448
Crybb1	0.652985074626866
Cd33	0.638059701492537
Fcer1g	0.634328358208955
Ly86	0.630597014925373
Slfn2	0.626865671641791
Itga6	0.626865671641791
P2ry12	0.626865671641791
Ntpcr	0.626865671641791
Tmem37	0.623134328358209
A130077B15Rik	0.623134328358209
Gngt2	0.619402985074627
Tagap	0.619402985074627
Stab1	0.611940298507463
Ppfibp2	0.611940298507463
Csf1r	0.608208955223881
Hpgds	0.608208955223881
Fam167b	0.604477611940298
Tyrobp	0.604477611940298
Ctsc	0.604477611940298
Cyba	0.600746268656716
Osm	0.597014925373134
Myo1f	0.597014925373134
Il21r	0.597014925373134
Lrrc25	0.597014925373134
Cmtm7	0.593283582089552
Fcgr1	0.58955223880597
Ctsd	0.58955223880597
Hcls1	0.585820895522388
Alox5ap	0.585820895522388
Cd300c2	0.582089552238806
Pld4	0.578358208955224
Ikzf1	0.57089552238806
Susd3	0.57089552238806
Fcrls	0.567164179104478
Laptm5	0.563432835820896
AB124611	0.563432835820896
Cd300lf	0.559701492537313
Fgd2	0.555970149253731
Pik3r5	0.552238805970149
Ncf2	0.548507462686567
Apobec3	0.548507462686567
Tnfrsf14	0.548507462686567
4833411C07Rik	0.548507462686567
Csf2rb	0.544776119402985
Trem2	0.544776119402985
Pik3cd	0.544776119402985
C5ar1	0.544776119402985
Hk3	0.541044776119403
Tmem273	0.541044776119403
Apbb1ip	0.541044776119403
Trpv4	0.541044776119403
Hpgd	0.541044776119403
Slc15a3	0.537313432835821
Acss1	0.529850746268657
B430010I23Rik	0.526119402985075
Fli1	0.526119402985075
Lifr	0.522388059701492
Arap3	0.522388059701492
Rcsd1	0.514925373134328
Gm10790	0.511194029850746
Sh2d3c	0.511194029850746
Cd53	0.511194029850746
Il4ra	0.511194029850746
Mir6973a	0.507462686567164
Sash3	0.507462686567164
Slc25a19	0.503731343283582
Prkcd	0.503731343283582
Cd84	0.5
Trpm2	0.5
Abca9	0.5
H2-Q4	0.5
Snord17	0.5
Cd9	0.5
Lair1	0.5
Plau	0.492537313432836
Ccl2	0.488805970149254
Tmc6	0.488805970149254
Tmc8	0.488805970149254
Cd180	0.488805970149254
Rhoh	0.488805970149254
Ppp1r3b	0.488805970149254
Scamp2	0.488805970149254
Pecam1	0.48134328358209
Cd300c	0.48134328358209
Pik3cg	0.48134328358209
P2ry13	0.48134328358209
H2-T24	0.477611940298507
Lyn	0.477611940298507
H2-DMb2	0.473880597014925
Adora3	0.473880597014925
Lcp2	0.470149253731343
Gm11696	0.466417910447761
BC147527	0.462686567164179
Lrmda	0.462686567164179
H2-Ob	0.462686567164179
Arpc1b	0.462686567164179
Ccr5	0.462686567164179
Runx1	0.458955223880597
Calcrl	0.458955223880597
Rasal3	0.455223880597015
Ccl6	0.451492537313433
Hspb3	0.447761194029851
Zc3hav1	0.447761194029851
Slamf9	0.444029850746269
Prr5l	0.444029850746269
Apobec1	0.444029850746269
Med11	0.440298507462687
Gm6583	0.440298507462687
Cd37	0.440298507462687
Gm15471	0.436567164179104
Arhgap9	0.432835820895522
Dock2	0.432835820895522
Siglech	0.432835820895522
Cd300a	0.42910447761194
Ucp2	0.42910447761194
Tlr9	0.42910447761194
Ltc4s	0.425373134328358
Mir6993	0.425373134328358
Ptpn18	0.421641791044776
Mlph	0.421641791044776
Parp9	0.421641791044776
C030005K06Rik	0.421641791044776
Lat2	0.421641791044776
Nckap1l	0.417910447761194
Pyroxd2	0.417910447761194
Fbxo24	0.417910447761194
Rassf4	0.417910447761194
Ptgs1	0.414179104477612
Fchsd2	0.414179104477612
Ctsh	0.414179104477612
Zfp217	0.41044776119403
Itgb2	0.406716417910448
Ptafr	0.406716417910448
Cdk14	0.406716417910448
Nav2	0.406716417910448
Pla2g15	0.406716417910448
Uba7	0.406716417910448
Adap2	0.402985074626866
Arl11	0.402985074626866
Cd86	0.402985074626866
Tnfrsf1a	0.402985074626866
Il1rl2	0.399253731343284
Arhgap30	0.399253731343284
Sqor	0.399253731343284
Clec4a3	0.399253731343284
Trim30a	0.399253731343284
A530088E08Rik	0.395522388059701
Smim3	0.395522388059701
Ccdc88b	0.395522388059701
Nod2	0.395522388059701
Traf3ip3	0.391791044776119
Dok3	0.391791044776119
Eva1a	0.391791044776119
Havcr2	0.388059701492537
Fcgrt	0.388059701492537
Grn	0.384328358208955
Golm1	0.384328358208955
Rasgrp3	0.384328358208955
Cfh	0.380597014925373
0610040J01Rik	0.380597014925373
Mir6904	0.376865671641791
Gpr34	0.376865671641791
Il1b	0.373134328358209
Cnr2	0.373134328358209
Mir7029	0.373134328358209
Ebf3	0.373134328358209
Tmsb4x	0.373134328358209
4933432I03Rik	0.369402985074627
Hcst	0.369402985074627
Nfkbid	0.369402985074627
Itgax	0.369402985074627
Tnfrsf1b	0.365671641791045
Commd8	0.365671641791045
Selplg	0.365671641791045
Ifitm10	0.365671641791045
Itga4	0.361940298507463
Gpr160	0.361940298507463
Plcg2	0.361940298507463
Ugt1a7c	0.358208955223881
Gm5431	0.358208955223881
Slc17a9	0.358208955223881
Zfp691	0.358208955223881
Wdfy4	0.354477611940299
Hck	0.354477611940299
Gbp7	0.354477611940299
Vamp5	0.354477611940299
Tmem40	0.354477611940299
Lsp1	0.354477611940299
Rgs14	0.350746268656716
Ehd4	0.350746268656716
Cyp4v3	0.350746268656716
Oaf	0.350746268656716
Cgas	0.350746268656716
Mir6353	0.347014925373134
Icosl	0.347014925373134
Pdlim2	0.347014925373134
Adgre1	0.347014925373134
Fblim1	0.347014925373134
Tmem119	0.347014925373134
Bcl3	0.347014925373134
