51	3018378
65	2073886
66	2033769
64	2032079
75	1993193
74	1979388
67	1952261
63	1951830
76	1946368
73	1934312
55	1917494
56	1893698
72	1883083
62	1870651
77	1863985
68	1857696
54	1855699
71	1843882
57	1825472
61	1811729
52	1807859
69	1806523
70	1805005
84	1790890
85	1782809
83	1767615
78	1761822
53	1754307
60	1751918
58	1741285
86	1732208
82	1727884
59	1718795
79	1693688
81	1691308
80	1668858
87	1646430
88	1552644
94	1520918
95	1513633
93	1508027
89	1479946
96	1473752
92	1471823
91	1449697
90	1443771
97	1403881
98	1324140
104	1265446
105	1263367
99	1252421
103	1247200
106	1234559
102	1220437
100	1211137
101	1205108
107	1180636
108	1112795
109	1053775
115	1047084
114	1043059
116	1027292
113	1026917
110	1013562
112	1005326
111	1000711
117	989556
177	972931
168	956553
176	942371
118	940121
178	933392
167	928612
119	889901
125	875156
151	875129
169	864171
124	863155
126	859057
175	856953
120	849366
123	845699
179	841475
127	833255
121	831107
122	829589
138	816347
150	813826
187	810298
166	809430
188	803760
128	801873
137	793684
186	786110
152	769872
189	766212
170	759245
129	755109
174	752832
180	749008
136	742024
185	738769
139	736561
197	734919
149	732252
196	728702
198	725872
190	721723
130	721521
135	719306
206	712343
205	712030
199	709897
195	709595
134	706640
207	705917
131	702682
165	701338
204	701203
171	696740
148	695316
133	694619
132	693440
200	691737
208	690714
184	688614
159	685454
203	684757
194	684343
181	683614
173	683455
202	679352
191	679326
201	679226
215	677565
160	674577
216	673994
140	673358
214	671995
209	671817
172	668242
193	664517
217	663612
213	663553
192	662021
158	659987
210	658764
183	656696
212	654838
211	653623
182	653301
147	649055
141	648088
161	647958
218	644299
164	633240
219	624357
153	623403
142	616852
162	616324
146	612406
163	609467
157	606679
220	603641
145	597920
143	593341
221	592071
144	590995
224	587896
223	586069
225	585988
222	585957
226	583867
227	577692
156	570040
228	565077
154	563167
155	556752
229	550719
230	536346
231	522320
232	514099
233	506871
234	503427
235	499338
236	495217
237	487028
238	478291
239	467724
240	454581
241	441530
242	430126
243	422020
244	415728
245	411092
246	406164
247	401020
248	395542
249	385760
250	377751
251	368902
252	357247
253	349232
254	342706
255	339174
256	334364
257	332240
258	327385
259	322789
260	316315
261	307927
262	299548
263	292402
264	286778
265	281499
266	278367
267	278142
268	274568
269	273461
270	269249
271	262388
272	256772
273	248734
274	244010
275	239773
278	238493
276	238390
279	237967
277	237904
280	236153
281	232715
282	227255
283	220917
290	215784
284	214969
289	214675
291	213765
288	213638
287	211278
285	211265
286	210039
292	209665
300	206224
301	205451
293	203661
299	203038
302	202608
298	198706
311	197636
294	197388
310	196097
303	195709
312	195584
295	194281
297	193848
309	192048
296	191558
313	190661
304	189035
322	187385
321	185911
308	184815
314	184598
323	184233
320	183651
305	182819
307	182380
306	180753
324	179786
319	179069
315	178878
332	176393
333	175619
316	174899
318	174723
325	174503
317	173915
331	173299
334	172996
330	170860
326	169060
335	168618
329	167797
327	167413
328	166592
343	165174
336	164922
344	163909
342	163743
345	162195
341	161797
337	160504
340	159584
346	158326
339	158271
338	158008
347	154090
353	151855
354	151545
348	151017
352	150632
355	150472
351	149269
356	148232
350	148116
349	147517
357	144830
358	141461
359	138515
360	136436
363	136374
361	136356
362	136209
364	135158
365	135003
366	132443
367	129229
368	126791
369	122867
370	121346
371	119671
372	119101
373	118603
374	118158
375	116635
376	114227
377	111761
378	108937
379	105860
380	103932
381	102661
382	101616
383	101542
384	100032
385	98333
386	96427
387	93470
388	91201
389	87745
390	86034
391	84925
392	84028
393	83535
394	82954
395	80941
396	79139
397	76412
398	73796
399	70369
400	67856
401	66802
402	66185
403	65211
404	64333
405	64178
406	61970
407	60212
408	57975
409	55475
410	52369
411	51085
412	50418
413	49439
414	48526
415	48156
416	47194
417	45771
418	43985
419	41681
420	40287
421	38219
422	36975
423	36396
424	35873
425	35783
426	34991
427	34203
428	32322
429	31243
430	29469
431	28129
432	27144
433	26532
434	26246
435	25671
436	25442
437	25226
438	24087
439	22999
440	21792
441	20655
442	19905
443	19342
444	18993
445	18708
446	18190
447	18172
448	17655
449	17006
450	16090
451	15434
452	14815
453	14140
454	13975
455	13613
456	13507
457	13338
458	13304
459	12606
460	12102
461	11801
462	11038
463	10536
464	10360
466	10246
465	10128
467	10066
468	9795
469	9578
470	9331
471	8947
472	8522
473	8209
474	7998
475	7683
476	7625
477	7598
478	7554
479	7297
480	7220
481	6803
482	6474
483	6290
484	6066
485	5948
488	5873
489	5852
486	5843
487	5834
490	5677
491	5521
492	5272
493	4881
494	4709
498	4636
500	4623
495	4614
497	4601
499	4567
496	4506
501	4318
502	4213
503	3898
504	3815
505	3710
509	3669
506	3613
511	3533
508	3507
507	3473
510	3465
512	3462
513	3169
514	3016
516	2963
517	2932
515	2898
521	2775
518	2740
520	2671
519	2623
522	2351
525	1997
524	1830
523	1802
526	1361
529	497
527	495
528	398
530	328
531	69
533	16
532	11
534	11
