"ID", "Description", "GeneRatio", "BgRatio", "pvalue", "p.adjust", "qvalue", "geneID", "Count"
"GO:0098926", "postsynaptic signal transduction", "1/5", "15/23210", 0.00322746956182973, 0.0338884303992122, 0.0118906773330569, "Kpna1", 1
"GO:0099527", "postsynapse to nucleus signaling pathway", "1/5", "15/23210", 0.00322746956182973, 0.0338884303992122, 0.0118906773330569, "Kpna1", 1
"GO:0035458", "cellular response to interferon-beta", "1/5", "46/23210", 0.00987116734128535, 0.0584873888108329, 0.0205218908108186, "Ifi208", 1
"GO:0035456", "response to interferon-beta", "1/5", "56/23210", 0.0120067217961746, 0.0584873888108329, 0.0205218908108186, "Ifi208", 1
"GO:0030968", "endoplasmic reticulum unfolded protein response", "1/5", "65/23210", 0.013925568764484, 0.0584873888108329, 0.0205218908108186, "Herpud2", 1
"GO:0034620", "cellular response to unfolded protein", "1/5", "82/23210", 0.0175419227626499, 0.0609644035575015, 0.0213910187921058, "Herpud2", 1
"GO:0035967", "cellular response to topologically incorrect protein", "1/5", "103/23210", 0.0219945267250423, 0.0609644035575015, 0.0213910187921058, "Herpud2", 1
"GO:0006986", "response to unfolded protein", "1/5", "110/23210", 0.0234751351169208, 0.0609644035575015, 0.0213910187921058, "Herpud2", 1
"GO:0035966", "response to topologically incorrect protein", "1/5", "133/23210", 0.0283273705781828, 0.0609644035575015, 0.0213910187921058, "Herpud2", 1
"GO:0006606", "protein import into nucleus", "1/5", "151/23210", 0.0321113016358168, 0.0609644035575015, 0.0213910187921058, "Kpna1", 1
"GO:0051170", "import into nucleus", "1/5", "155/23210", 0.0329505720834733, 0.0609644035575015, 0.0213910187921058, "Kpna1", 1
"GO:0002218", "activation of innate immune response", "1/5", "164/23210", 0.034836802032858, 0.0609644035575015, 0.0213910187921058, "Ifi208", 1
"GO:0017038", "protein import", "1/5", "209/23210", 0.0442238543786059, 0.0671243224752156, 0.0235523938509528, "Kpna1", 1
"GO:0045089", "positive regulation of innate immune response", "1/5", "232/23210", 0.048993393872786, 0.0671243224752156, 0.0235523938509528, "Ifi208", 1
"GO:0034976", "response to endoplasmic reticulum stress", "1/5", "237/23210", 0.0500277262051657, 0.0671243224752156, 0.0235523938509528, "Herpud2", 1
"GO:0034504", "protein localization to nucleus", "1/5", "272/23210", 0.0572428808605879, 0.0671243224752156, 0.0235523938509528, "Kpna1", 1
"GO:0006913", "nucleocytoplasmic transport", "1/5", "289/23210", 0.0607315298585284, 0.0671243224752156, 0.0235523938509528, "Kpna1", 1
"GO:0045088", "regulation of innate immune response", "1/5", "289/23210", 0.0607315298585284, 0.0671243224752156, 0.0235523938509528, "Ifi208", 1
"GO:0051169", "nuclear transport", "1/5", "289/23210", 0.0607315298585284, 0.0671243224752156, 0.0235523938509528, "Kpna1", 1
"GO:0031349", "positive regulation of defense response", "1/5", "370/23210", 0.077212370345389, 0.0780202032934689, 0.027375509927533, "Ifi208", 1
"GO:0072594", "establishment of protein localization to organelle", "1/5", "374/23210", 0.0780202032934689, 0.0780202032934689, 0.027375509927533, "Kpna1", 1
